Disease,Symptoms,Description,Precautions
Peritonsillar Abscess,"Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness","A peritonsillar abscess (PTA), also known as a quinsy, is an accumulation of pus due to an infection behind the tonsil. Symptoms include fever, throat pain, trouble opening the mouth, and a change to the voice. Pain is usually worse on one side.",Consult a healthcare professional for accurate precautions.
Pertusis (Batuk Rejan),"Recurrent severe cough, characteristic breath sounds, vomiting after coughing","Batuk parah berulang, bunyi tarikan napas khas, muntah setelah batuk. Infeksi bakteri Bordetella pertussis.",Consult a healthcare professional for accurate precautions.
Peyronie Disease,"Curvature of the penis, pain during erections","Peyronie's disease (PD) is a benign, acquired penile connective tissue disease characterized by the occurrence of fibrotic plaques within the tunica albuginea — the dense elastic covering of the corpora cavernosa. The plaques cause abnormal curvature, pain, penile deformities (e.g., narrowing or indentation), and usually erectile dysfunction, particularly during erection. The condition typically leads to significant sexual and psychological effects, including difficulty with penetration and lowered self-esteem or evasiveness.",Consult a healthcare professional for accurate precautions.
Peyronie's Disease,"Bending of the penis, pain during erection","Penekukan penis, nyeri saat ereksi. Fibrosis tunika albuginea.",Consult a healthcare professional for accurate precautions.
Pharyngitis,"Sore throat, difficulty swallowing, swollen lymph nodes","Laryngitis is inflammation of the larynx (voice box). Symptoms often include a hoarse voice and may include fever, cough, pain in the front of the neck, and trouble swallowing. Typically, these last under 2 weeks.","The majority of the time, treatment is symptomatic. Specific treatments are effective for bacterial, fungal, and herpes simplex infections."
Phenylketonuria,"Disorders of brain development, seizures, pale skin","Gangguan perkembangan otak, kejang, kulit pucat. Disorders of phenylalanine metabolism.","PKU is not curable. However, if it is diagnosed early enough, an affected newborn can grow up with normal brain development by managing and controlling phenylalanine (""Phe"") levels through diet, or a combination of diet and medication. If dietary treatment is not initiated within 2 weeks after birth, the child is likely to develop permanent intellectual disability, even if dietary interventions begin shortly thereafter."
Phenylketonuria (PKU),"Developmental delay, neurological disorders, fair skin","Keterlambatan perkembangan, gangguan neurologis, kulit cerah. Disorders of phenylalanine metabolism.",Consult a healthcare professional for accurate precautions.
Pheochromocytoma,"Episodic hypertension, headache, sweating, palpitations","Hipertensi episodik, sakit kepala, berkeringat, palpitasi. Adrenal gland tumors produce excess catecholamines.",Consult a healthcare professional for accurate precautions.
Pica,Persistent consumption of non-food substances,,Consult a healthcare professional for accurate precautions.
Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain","Pigment dispersion syndrome (PDS) is an eye disorder that can lead to a form of glaucoma known as pigmentary glaucoma. It takes place when pigment cells slough off from the back of the iris and float around in the aqueous humor. Over time, these pigment cells can accumulate in the anterior chamber in such a way that they begin to clog the trabecular meshwork (the major site of aqueous humour drainage), which can in turn prevent the aqueous humour from draining and therefore increases the pressure inside the eye.",Consult a healthcare professional for accurate precautions.
Pilonidal Cyst,"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation","Pilonidal disease is a type of skin infection that typically occurs as a cyst between the cheeks of the buttocks and often at the upper end. Symptoms may include pain, swelling, and redness. There may also be drainage of fluid, but rarely a fever.","If there is an infection, treatment is generally by incision and drainage just off the midline because incisions in the midline have a hard time healing well. Following five simple rules has been known to prevent recurring inflammations for some people and avoid surgery: 1. Avoiding chairs and car seats that put pressure on the coccyx; 2. Being of average weight, preferably with low BMI; 3. Keeping the area clean; 4. Keeping the area dry by wearing exclusively cotton garments; 5. Keeping the area completely hair-free, for example, by regularly using an IPL hair removal device. The evidence for elective treatment of pilonidal sinus disease is poor. The most commonly performed surgery is for the pilonidal sinus complex to be surgically excised with the wound often left open to heal. Post-surgical wound packing may be necessary, and packing typically must be replaced daily for four to eight weeks. In some cases, two years may be required for complete granulation to occur. Sometimes the cyst is resolved via surgical marsupialization. A 2018 literature review of 740 records of surgeries that included recurrence rates found that primary midline closure surgeries resulted in a 67.9% recurrence rate within 20 years, and recommended that they should be discontinued due to the high recurrence rate. Incision and drainage had a recurrence rate of 25.9% within 2 years, up to 40.2% in 5 years. Phenol treatment has a recurrence rate of 14.1% at 2 years and 40.4% at 5 years. A 2024 study involving 667 people found that, compared with tissue-removing surgery, minor procedures (such as draining and pit-picking) were associated with less pain, fewer complications and a faster recovery. However, minor surgeries were less likely to resolve the condition. Surgeons can also excise the sinus and repair it with a reconstructive flap technique, such as a ""cleft lift"" procedure or Z-plasty, usually done under general anesthetic. This approach is especially useful for complicated or recurring pilonidal disease, leaves little scar tissue, and flattens the region between the buttocks, reducing the risk of recurrence. This approach typically results in a more rapid recovery than traditional surgery; however, there are fewer surgeons trained in the cleft lift procedure, and it consequently may not be as accessible to patients, depending on their location. Meta-analysis shows recurrence rates were lower in open healing than with primary closure (RR 0.60, 95% CI 0.42 to 0.87), at the expense of healing time. Pilonidal cysts can recur, and do so more frequently if the surgical wound is sutured in the midline, as opposed to away from the midline, which obliterates the natal cleft and removes the focus of shearing stress. An incision lateral to the intergluteal cleft is therefore preferred, especially given the poor healing of midline incisions in this region. Minimally invasive techniques with no wound and rapid return to full activities have been reported but await double-blind randomized trials. Another technique is to treat the pilonidal sinus with fibrin glue. This technique is of unclear benefit as of 2017 due to insufficient research. The evidence for any treatment is of low quality, and care must be taken not to overinterpret any study in this field. Since the 2010s, several minimally invasive techniques have been developed to minimize the impact of surgery on patients and achieve less pain and shorter recovery times. In some cases, the wounds are left open after surgery to heal naturally instead of being closed with stitches. There are a lot of different dressings and topical agents (creams or lotions) that are available to help these open wounds heal. A 2022 systematic review brought together evidence from 11 studies that compared dressings and topical agents for treating open wounds after surgical treatment for pilonidal sinus of the buttocks. The authors concluded that: platelet rich plasma may help wounds to heal quicker compared to sterile gauze; Lietofix skin repair cream may help wounds to heal by 30 days compared to iodine (which helps to reduce bacteria in the wound); but it is not clear whether hydrogel dressings (designed to keep the wound moist) reduce the time it takes wounds to heal compared with cleaning the wound with iodine. Endoscopic pilonidal treatment, which uses a small camera to guide the surgeon in removing hair, is a newer method of treatment that has minimal pain and quick healing compared to surgery. A literature review of 497 patients found that the average endoscopic operation time was 34.7 minutes, and the average healing time was 32.9 days. Failure occurred in 8% of patients, who had persistent disease or recurrence."
Pinguecula,"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea",A pinguecula is a common type of conjunctival stromal degeneration in the eye. It appears as an elevated yellow-white plaque in the bulbar conjunctiva near the limbus. Calcification may also be seen occasionally.,"Pingueculae may enlarge slowly over time, but it is a benign condition, usually requiring no treatment. Artificial tears may help to relieve discomfort, if it occurs. If cosmesis is a concern, or if there is discomfort in contact lens use, surgical excision may be done. Occasionally, a pinguecula may become inflamed, a condition called pingueculitis. The cause of pingueculitis is unknown and there are no known infectious agents associated with it. If an inflamed pinguecula is causing discomfort or cosmetic concerns, it may be treated with short course of topical steroid. Laser photocoagulation may also be used to remove pinguecula."
Pinworm Infection,"Itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite","Pinworm infection (threadworm infection in the UK), also known as enterobiasis, is a human parasitic disease caused by the pinworm, Enterobius vermicularis. The most common symptom is pruritus ani, or itching in the anal area. The period of time from swallowing eggs to the appearance of new eggs around the anus is 4 to 8 weeks.",Consult a healthcare professional for accurate precautions.
Pituitary Adenoma,"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments","Sakit kepala, gangguan penglihatan, hormon abnormal. Benign tumor of the pituitary gland.",Consult a healthcare professional for accurate precautions.
Pituitary Disorder,"Various symptoms depending on the specific disorder, including hormonal imbalances","A pituitary disease is a disorder primarily affecting the pituitary gland. == Table == The main disorders involving the pituitary gland are: Overproduction or underproduction of a pituitary hormone will affect the respective end-organ. For example, insufficient production (hyposecretion) of thyroid stimulating hormone (TSH) in the pituitary gland will cause hypothyroidism, while overproduction (hypersecretion) of TSH will cause hyperthyroidism.",Consult a healthcare professional for accurate precautions.
Placenta Previa,"Vaginal bleeding, painless bleeding in the third trimester","In placenta praevia (or placenta previa), the placenta attaches inside the uterus in a position that partially or completely covers the cervical opening. Symptoms include vaginal bleeding in the second half of pregnancy. The bleeding is bright red and tends not to be associated with pain.",Consult a healthcare professional for accurate precautions.
Plantar Fasciitis,"Heel pain, tenderness, difficulty walking","Plantar fasciitis or plantar heel pain is a disorder of the plantar fascia, which is the connective tissue that supports the arch of the foot. It results in pain in the heel and bottom of the foot that is usually most severe with the first steps of the day or following a period of rest. Pain is also frequently brought on by bending the foot and toes up towards the shin.",Consult a healthcare professional for accurate precautions.
Plasmodium,"Periodic fever, chills, sweating","Demam berkala, menggigil, berkeringat. Plasmodium parasite infection from Anopheles mosquito bites (malaria).",Consult a healthcare professional for accurate precautions.
Pleomorphic adenoma,"Painless lump or swelling, Facial changes","Pleomorphic adenoma (or benign mixed tumor) is a common benign salivary gland neoplasm characterised by neoplastic proliferation of epithelial (ductal) cells along with myoepithelial components, having a malignant potentiality. It is the most common type of salivary gland tumor and the most common tumor of the parotid gland. It derives its name from the architectural Pleomorphism (variable appearance) seen by light microscopy.","Overall, the mainstay of the treatment for salivary gland tumor is surgical resection. Needle biopsy is highly recommended prior to surgery to confirm the diagnosis. More detailed surgical technique and the support for additional adjuvant radiotherapy depends on whether the tumor is malignant or benign. Surgical treatment of parotid gland tumors is sometimes difficult, partly because of the anatomical relationship of the facial nerve and the parotid lodge, but also through the increased potential for postoperative relapse. Thus, detection of early stages of a tumor of the parotid gland is extremely important in terms of prognosis after surgery. There have been several approaches for surgery of parotid pleomorphic adenoma in the course of time. Enucleation of the tumor (i.e. intracapsular dissection), a procedure that was common in the early 20th century, is nowadays obsolete due to very high incidence of recurrence. After the time of enucleations, pleomorphic adenomas of parotid gland were recommended to be routinely treated with superficial or total parotidectomy. These procedures combine complete tumor removal and identification of the main trunk of facial nerve during surgery to avoid any lesions to the nerve. However, extensive surgery may cause significant morbidity, such as Frey´s syndrome (excessive sweat while eating) and salivary fistula. Also, aesthetic outcome may be compromised. Therefore, less invasive procedures have been preferred in selected cases during the recent years, and introduction of perioperative neuromonitoring enabled the evolution of several different surgical techniques some twenty years ago. Currently, the choice of surgical approach for parotid pleomorphic adenoma is mainly based on the size, location, and mobility of the tumor. The recommended main techniques include extracapsular dissection, partial superficial parotidectomy, and lateral or total parotidectomy. Nevertheless, the experience of surgeon plays a key role in the results of these distinct procedures. An important point of view is that recurrent pleomorphic adenomas may occur after a very long time from primary surgery, on average over 7–10 years but up to 24 years afterwards. Thus, it is of utmost importance to evaluate the ultimate results of these different surgical techniques in the future. The benign tumors of the submandibular gland is treated by simple excision with preservation of mandibular branch of the facial nerve, the hypoglossal nerve, and the lingual nerve. Other benign tumors of minor salivary glands are treated similarly. Malignant salivary tumors usually require wide local resection of the primary tumor. However, if complete resection cannot be achieved, adjuvant radiotherapy should be added to improve local control. This surgical treatment has many sequelae such as cranial nerve damage, Frey's syndrome, cosmetic problems, etc. Usually about 44% of the patients have a complete histologic removal of the tumor and this refers to the most significant survival rate."
Pneumocystis Pneumonia (PCP),,"Pneumocystis pneumonia (PCP), also known as Pneumocystis jirovecii pneumonia (PJP), is a form of pneumonia that is caused by the yeast-like fungus Pneumocystis jirovecii. Pneumocystis specimens are commonly found in the lungs of healthy people although it is usually not a cause for disease. However, they are a source of opportunistic infection and can cause lung infections in people with a weak immune system or other predisposing health conditions.",Consult a healthcare professional for accurate precautions.
Pneumonia,"Cough, fever, chest pain, difficulty breathing","Demam, batuk berdahak, sesak napas. Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.","Prevention includes vaccination, environmental measures, and appropriate treatment of other health problems. It is believed that, if appropriate preventive measures were instituted globally, mortality among children could be reduced by 400,000; and, if proper treatment were universally available, childhood deaths could be decreased by another 600,000. Antibiotics by mouth, rest, simple analgesics, and fluids usually suffice for complete resolution. Antibiotics therapy for children aged 2 to 59 months with non‐severe pneumonia with wheeze may reduce of treatment failure by 20%, however results in little or no difference to clinical cure, in little or no difference to relapse, and treatment harms. However, those with other medical conditions, the elderly, or those with significant trouble breathing may require more advanced care. If the symptoms worsen, the pneumonia does not improve with home treatment, or complications occur, hospitalization may be required. Worldwide, approximately 7–13% of cases in children result in hospitalization, whereas in the developed world between 22 and 42% of adults with community-acquired pneumonia are admitted. The CURB-65 score is useful for determining the need for admission in adults. If the score is 0 or 1, people can typically be managed at home; if it is 2, a short hospital stay or close follow-up is needed; if it is 3–5, hospitalization is recommended. In children those with respiratory distress or oxygen saturations of less than 90% should be hospitalized. The utility of chest physiotherapy in pneumonia has not yet been determined. Over-the-counter cough medicine has not been found to be effective, nor has the use of zinc supplementation in children. There is insufficient evidence for mucolytics. There is no strong evidence to recommend that children who have non-measles related pneumonia take vitamin A supplements. Vitamin D, as of 2023, is of unclear benefit in children. Vitamin C administration in pneumonia needs further research, despite found lower mortality and reduced severity for most ill patient, although it can be given to patient of low plasma vitamin C because it is not expensive and low risk. Pneumonia can cause severe illness in a number of ways, and pneumonia with evidence of organ dysfunction may require intensive care unit admission for observation and specific treatment. The main impact is on the respiratory and the circulatory system. Respiratory failure not responding to normal oxygen therapy may require heated humidified high-flow therapy delivered through nasal cannulae, non-invasive ventilation, or in severe cases mechanical ventilation through an endotracheal tube. Regarding circulatory problems as part of sepsis, evidence of poor blood flow or low blood pressure is initially treated with 30 mL/kg of crystalloid infused intravenously. In situations where fluids alone are ineffective, vasopressor medication may be required. For adults with moderate or severe acute respiratory distress syndrome (ARDS) undergoing mechanical ventilation, there is a reduction in mortality when people lie on their front for at least 12 hours a day. However, this increases the risk of endotracheal tube obstruction and pressure sores."
Pneumonia Bakteri,"High fever, cough with phlegm, shortness of breath, chest pain","Demam tinggi, batuk berdahak, sesak napas, nyeri dada. Bacterial infection of the lungs, often Streptococcus pneumoniae.",Consult a healthcare professional for accurate precautions.
Pneumonia Virus,"Fever, dry cough, shortness of breath, muscle aches","Demam, batuk kering, sesak napas, nyeri otot. Viral infections of the lungs, for example influenza or RSV.",Consult a healthcare professional for accurate precautions.
Pneumothorax,,"A pneumothorax is collection of air in the pleural space between the lung and the chest wall. Symptoms typically include sudden onset of sharp, one-sided chest pain and shortness of breath. In a minority of cases, a one-way valve is formed by an area of damaged tissue, in which case the air pressure in the space between chest wall and lungs can be higher; this has been historically referred to as a tension pneumothorax, although its existence among spontaneous episodes is a matter of debate.","The treatment of pneumothorax depends on a number of factors and may vary from discharge with early follow-up to immediate needle decompression or insertion of a chest tube. Treatment is determined by the severity of symptoms and indicators of acute illness, the presence of underlying lung disease, the estimated size of the pneumothorax on X-ray, and – in some instances – on the personal preference of the person involved. In traumatic pneumothorax, chest tubes are usually inserted. If mechanical ventilation is required, the risk of tension pneumothorax is greatly increased and the insertion of a chest tube is mandatory. Any open chest wound should be covered with an airtight seal, as it carries a high risk of leading to tension pneumothorax. Ideally, a dressing called the ""Asherman seal"" should be utilized, as it appears to be more effective than a standard ""three-sided"" dressing. The Asherman seal is a specially designed device that adheres to the chest wall and, through a valve-like mechanism, allows air to escape but not to enter the chest. Tension pneumothorax is usually treated with urgent needle decompression. This may be required before transport to the hospital, and can be performed by an emergency medical technician or other trained professional. The needle or cannula is left in place until a chest tube can be inserted. Critical care teams are able to incise the chest to create a larger conduit as performed when placing a chest drain, but without inserting the chest tube. This is called a simple thoracostomy. If tension pneumothorax leads to cardiac arrest, needle decompression or simple thoracostomy is performed as part of resuscitation as it may restore cardiac output. A preventative procedure (thoracotomy or thoracoscopy with pleurodesis) may be recommended after an episode of pneumothorax, with the intention to prevent recurrence. Evidence on the most effective treatment is still conflicting in some areas, and there is variation between treatments available in Europe and the US. Not all episodes of pneumothorax require such interventions; the decision depends largely on estimation of the risk of recurrence. These procedures are often recommended after the occurrence of a second pneumothorax. Surgery may need to be considered if someone has experienced pneumothorax on both sides (""bilateral""), sequential episodes that involve both sides, or if an episode was associated with pregnancy."
Pneumotoraks,"Sudden chest pain, shortness of breath, decreased breath sounds","Nyeri dada tiba-tiba, sesak napas, bunyi napas berkurang. Air enters the pleural cavity.",Consult a healthcare professional for accurate precautions.
Poisoning due to Analgesics,"Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress","Salicylate poisoning, also known as aspirin poisoning, is the acute or chronic poisoning with a salicylate such as aspirin. The classic symptoms are ringing in the ears, nausea, abdominal pain, and a fast breathing rate. Early on, these may be subtle, while larger doses may result in fever.",Consult a healthcare professional for accurate precautions.
Poisoning due to Antidepressants,"Nausea, vomiting, drowsiness, dizziness, confusion, seizures, changes in heart rate, low blood pressure, respiratory distress","Cyanide poisoning is poisoning that results from exposure to any of a number of forms of cyanide. Early symptoms include headache, dizziness, fast heart rate, shortness of breath, and vomiting. This phase may then be followed by seizures, slow heart rate, low blood pressure, loss of consciousness, and cardiac arrest.",Consult a healthcare professional for accurate precautions.
Polimialgia Rheumatika,"Thigh and shoulder muscle pain, stiffness, mild fever","Nyeri otot paha dan bahu, kaku, demam ringan. Autoimmune-related inflammation of the large blood vessels.",Consult a healthcare professional for accurate precautions.
Polio,"Sudden weakness, muscle paralysis","Lemas mendadak, lumpuh otot. Polio virus infection attacks the nerves.","There is no cure for polio, but there are treatments. The focus of modern treatment has been on providing relief of symptoms, speeding recovery and preventing complications. Supportive measures include antibiotics to prevent infections in weakened muscles, analgesics for pain, moderate exercise and a nutritious diet. Treatment of polio often requires long-term rehabilitation, including occupational therapy, physical therapy, braces, corrective shoes and, in some cases, orthopedic surgery. Portable ventilators may be required to support breathing. Historically, a noninvasive, negative-pressure ventilator, more commonly called an iron lung, was used to artificially maintain respiration during an acute polio infection until a person could breathe independently (generally about one to two weeks). The use of iron lungs is largely obsolete in modern medicine as more modern breathing therapies have been developed and due to the eradication of polio in most of the world. Other historical treatments for polio include hydrotherapy, electrotherapy, massage and passive motion exercises, and surgical treatments, such as tendon lengthening and nerve grafting."
Polyarteritis Nodosa,"Fever, muscle pain, hypertension, skin rash","Demam, nyeri otot, hipertensi, ruam kulit. Inflammation of small and medium arteries due to autoimmune.",Consult a healthcare professional for accurate precautions.
Polycystic Kidney Disease,"Abdominal pain, high blood pressure, kidney cysts","Polycystic kidney disease (PKD or PCKD, also known as polycystic kidney syndrome) is a genetic disorder in which the renal tubules become structurally abnormal, resulting in the development and growth of multiple cysts within the kidney. These cysts may begin to develop in utero, in infancy, childhood, or in adulthood. Cysts are non-functioning tubules filled with fluid pumped into them, which range in size from microscopic to enormous, crushing adjacent normal tubules and eventually rendering them non-functional as well.","In 2018, Jynarque (tolvaptan) was introduced as the first FDA-approved treatment for PKD. In a recent long-term study, patients using tolvaptan had a 6.4% higher kidney function after 5 years compared to standard of care. In 2019, a team of researchers at UCSB found that a ketogenic diet might be able to halt, or even reverse progression in mice, and the results of a first human case series study are showing potential benefit. The results of a 3-month randomized, prospective dietary intervention clinical trial are pending. In addition, recent research indicates that mild to moderate calorie restriction or time-restricted feeding slow the progression of autosomal dominant polycystic kidney disease (ADPKD) in mice. Patient communities have been combining both ketogenic diets and time-restricted feeding with a low-oxalate diet to prevent the formation of stones and early reports show an average of 17% increase in kidney function after approximately one year on a ketogenic, time-restricted dietary regimen. If and when the disease progresses enough in a given case, the nephrologist or other practitioner and the patient will have to decide what form of renal replacement therapy will be used to treat end-stage kidney disease (kidney failure, typically stage 4 or 5 of chronic kidney disease). That will either be some form of dialysis, which can be done at least two different ways at varying frequencies and durations (whether it is done at home or in the clinic depends on the method used and the patient's stability and training) and eventually, if they are eligible because of the nature and severity of their condition and if a suitable match can be found, unilateral or bilateral kidney transplantation. A Cochrane Review study of autosomal dominant polycystic kidney disease made note of the fact that it is important at all times, while avoiding antibiotic resistance, to control infections of the cysts in the kidneys, and if affected, the liver, when needed for a certain duration to combat infection, by using, ""bacteriostatic and bacteriocidal drugs""."
Polycystic Ovarian Syndrome,"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts","Polycystic ovary syndrome (PCOS) is the most common hormonal disorder in women of reproductive age. The name comes from the observation of small follicles (or ""cysts"") that often appear on the ovaries. However, not everyone with PCOS has these follicles, and they are not the cause of the condition.","PCOS has no cure, and management is focused on the relief of symptoms. Treatment usually involves lifestyle changes such as diet and exercise of moderate intensity. Metabolic issues can further be treated with metformin or GLP-1 receptor agonists. For women with a BMI over 35, bariatric surgery may be a further option. Combined oral contraceptives are especially effective and used as the first line of treatment to reduce acne and hirsutism and regulate the menstrual cycle. Other typical acne treatments and hair removal techniques may be used. First-line treatment for fertility issues uses ovulation induction with clomiphene or letrozole. As PCOS is associated with psychological disorders and cardiovascular risk, screening for both is recommended."
Polycystic Ovary Syndrome (PCOS),"Irregular menstruation, acne, hirsutism","Menstruasi tidak teratur, jerawat, hirsutisme. Female hormone disorders.",Consult a healthcare professional for accurate precautions.
Polycythemia Vera,"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen","In oncology, polycythemia vera (PV) is an uncommon myeloproliferative neoplasm in which the bone marrow makes too many red blood cells. Approximately 98% of PV patients have a JAK2 gene mutation in their blood-forming cells (compared with 0.1-0.2% of the general population). Most of the health concerns associated with PV, such as thrombosis, are caused by the blood being thicker as a result of the increased red blood cells.",Consult a healthcare professional for accurate precautions.
Polymyalgia Rheumatica,"Muscle pain and stiffness, joint pain, fatigue","Polymyalgia rheumatica (PMR) is a systemic inflammatory disease characterized by pain or stiffness, usually in the neck, shoulders, upper arms, and hips, but which may occur all over the body. Almost all cases occur in people age 50 or older. Pain and stiffness of PMR is worst in the morning and improves throughout the day, but these symptoms frequently persist to some extent throughout the day and into the evening.","Prednisone is usual drug for PMR, and treatment frequently lasts for more than a year. If the patient does not experience dramatic improvement after three days of 10–20 mg oral prednisone per day, the diagnosis should be reconsidered. Sometimes relief of symptoms occurs in only several hours. Nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen are ineffective in the initial treatment of PMR, but they may be used in conjunction with the maintenance dose of corticosteroid. Along with medical treatment, patients are encouraged to exercise and eat healthily, helping to maintain a strong immune system and build strong muscles and bones. A diet of fruits, vegetables, whole grains, and low-fat meat and dairy products, avoiding foods with high levels of refined sugars and salt is recommended. Research in the UK has also suggested that people with polymyalgia rheumatica would benefit from a falls assessment when first diagnosed, and regular treatment reviews."
Pompe Disease,"Progressive muscle weakness, difficulty breathing, fatigue","Kelemahan otot progresif, kesulitan bernapas, kelelahan. Genetic disorder of alpha-glucosidase enzyme deficiency.","Cardiac and respiratory complications are treated symptomatically. Physical and occupational therapy may be beneficial for some patients. Alterations in diet may provide temporary improvement but will not alter the course of the disease. Genetic counseling can provide families with information regarding risk in future pregnancies. On April 28, 2006, the US Food and Drug Administration (FDA) approved a biologic license application (BLA) for alglucosidase alfa, rhGAA (Myozyme), the first treatment for patients with Pompe disease, developed by a team of Duke University researchers. This was based on enzyme replacement therapy using biologically active recombinant human alglucosidase alfa produced in Chinese Hamster Ovary cells. Myozyme falls under the FDA orphan drug designation and was approved under a priority review. The FDA approved Myozyme for administration by intravenous infusion of the solution. The safety and efficacy of Myozyme were assessed in two separate clinical trials in 39 infantile-onset patients with Pompe disease ranging in age from 1 month to 3.5 years at the time of the first infusion. Myozyme treatment prolongs ventilator-free survival and overall survival. Early diagnosis and early treatment lead to much better outcomes. The treatment is not without side effects which include fever, flushing, skin rash, increased heart rate, and even shock; these conditions, however, are usually manageable. Myozyme costs an average of US$300,000 a year and must be taken for the patient's entire life, so some American health insurers have refused to pay for it. In August 2006, Health Canada approved Myozyme for the treatment of Pompe disease. In June 2007, the Canadian Common Drug Review issued its recommendations regarding public funding for Myozyme therapy. Their recommendation was to provide funding to treat a tiny subset of Pompe patients (Infants less one year of age with cardiomyopathy). In May 2010, the FDA approved Lumizyme for the treatment of late-onset Pompe disease. Lumizyme and Myozyme have the same generic ingredient (alglucosidase alfa) and manufacturer (Genzyme Corporation). The difference between these two products is in the manufacturing process. Myozyme is made using a 160-L bioreactor, while Lumizyme uses a 4000-L bioreactor. Because of the difference in the manufacturing process, the FDA claims that the two products are biologically different. Myozyme is FDA approved for replacement therapy for infantile-onset Pompe disease. In July 2021, the European Medicines Agency (EMA) recommended the authorization of avalglucosidase alfa. Avalglucosidase alfa (Nexviazyme) was approved for medical use in the United States in August 2021, and in the European Union in June 2022. In December 2022, the EMA recommended the authorization of cipaglucosidase alfa. The approval was given in June 2023. In the EU, the therapy is available to all age groups without restrictions on weight of patients. In September 2023, the FDA approved a two-component therapy of Pombiliti (cipaglucosidase alfa-atga) and Opfolda (miglustat) 65 mg capsules for adults living with late-onset Pompe disease weighing more than 40 kg and who are not improving on their current enzyme replacement therapy."
Porokeratosis,"Ring-shaped, itchy scaly skin patches","Bercak kulit bersisik berbentuk cincin, gatal. Genetic or sporadic skin disorders.",Consult a healthcare professional for accurate precautions.
Porphyria,"Abdominal pain, nervous disorders, reddish urine","Nyeri perut, gangguan saraf, urine kemerahan. Disorders of heme metabolism due to enzyme abnormalities.",Consult a healthcare professional for accurate precautions.
Postpartum Depression,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby","Postpartum depression (PPD), also called perinatal depression, is a mood disorder which may be experienced by pregnant or postpartum women. Symptoms include extreme sadness, low energy, anxiety, crying episodes, irritability, and extreme changes in sleeping or eating patterns. PPD can also negatively affect the newborn child.","A 2013 Cochrane review found evidence that psychosocial or psychological intervention after childbirth helped reduce the risk of postnatal depression. These interventions included home visits, telephone-based peer support, and interpersonal psychotherapy. Support is an important aspect of prevention, as depressed mothers commonly state that their feelings of depression were brought on by ""lack of support"" and ""feeling isolated."" Across different cultures, traditional rituals for postpartum care may be preventative for PPD but are more effective when the support is welcomed by the mother. In couples, emotional closeness and global support by the partner protect against both perinatal depression and anxiety. In 2014, Alasoom and Koura found that compared to 42.9 percent of women who did not get spousal support, only 14.7 percent of women who got spousal assistance had PPD. Further factors such as communication between the couple and relationship satisfaction have a protective effect against anxiety alone. In those who are at risk counseling is recommended. The US Preventative Services Task Force (USPSTF) conducted a review of evidence which supported the use of counseling interventions such as therapy for the prevention of PPD in high-risk groups. Women who are considered to be high-risk include those with a past or present history of depression, or with certain socioeconomic factors such as low income or young age. Preventative treatment with antidepressants may be considered for those who have had PPD previously. However, as of 2017, the evidence supporting such use is weak. Community perinatal mental health teams were launched in England in 2016 to improve access to mental healthcare for pregnant women. They aim to prevent and treat episodes of mental illness during pregnancy and after birth. Researchers found that in areas of the country where teams were available, women who had previous contact with psychiatric services (many of whom had a previous diagnosis of anxiety or depression) were more likely to access mental health support and had a lower risk of relapse requiring hospital admission in the year after giving birth. Source: Treatment for mild to moderate PPD includes psychological interventions or antidepressants. Women with moderate to severe PPD would likely experience a greater benefit with a combination of psychological and medical interventions. Light aerobic exercise is useful for mild and moderate cases."
