Disease,Symptoms,Description,Precautions,symptom_list,combined
Thyroid Disease,"Fatigue, weight changes, mood swings, dry skin","Thyroid disease is a medical condition that affects the structure and/or function of the thyroid gland. The thyroid gland is located at the front of the neck and produces thyroid hormones that travel through the blood to help regulate many other organs, meaning that it is an endocrine organ. These hormones normally act in the body to regulate energy use, infant development, and childhood development.",Consult a healthcare professional for accurate precautions.,"['fatigue', 'weight changes', 'mood swings', 'dry skin']","thyroid disease fatigue, weight changes, mood swings, dry skin thyroid disease is a medical condition that affects the structure and/or function of the thyroid gland. the thyroid gland is located at the front of the neck and produces thyroid hormones that travel through the blood to help regulate many other organs, meaning that it is an endocrine organ. these hormones normally act in the body to regulate energy use, infant development, and childhood development. consult a healthcare professional for accurate precautions."
Tietze Syndrome,"Chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone","Tietze syndrome is a benign inflammation of one or more of the costal cartilages. It was first described in 1921 by German surgeon Alexander Tietze and was subsequently named after him. The condition is characterized by tenderness and painful swelling of the anterior (front) chest wall at the costochondral (rib to cartilage), sternocostal (cartilage to sternum), or sternoclavicular (clavicle to sternum) junctions.",Consult a healthcare professional for accurate precautions.,"['chest pain', 'swelling and tenderness of the cartilage connecting the ribs to the breastbone']","tietze syndrome chest pain, swelling and tenderness of the cartilage connecting the ribs to the breastbone tietze syndrome is a benign inflammation of one or more of the costal cartilages. it was first described in 1921 by german surgeon alexander tietze and was subsequently named after him. the condition is characterized by tenderness and painful swelling of the anterior (front) chest wall at the costochondral (rib to cartilage), sternocostal (cartilage to sternum), or sternoclavicular (clavicle to sternum) junctions. consult a healthcare professional for accurate precautions."
Tifus,"High fever, stomach ache, nausea, red spots","Demam tinggi, sakit perut, mual, bintik merah. Salmonella typhi bacterial infection from contaminated food/drinks.",Consult a healthcare professional for accurate precautions.,"['high fever', 'stomach ache', 'nausea', 'red spots']","tifus high fever, stomach ache, nausea, red spots demam tinggi, sakit perut, mual, bintik merah. salmonella typhi bacterial infection from contaminated food/drinks. consult a healthcare professional for accurate precautions."
Timothy Syndrome,"Arrhythmia, syndactyly, autism, nervous disorders","Arrhythmia, sindaktili, autisme, gangguan saraf. CACNA1C gene mutations affect calcium channels",Consult a healthcare professional for accurate precautions.,"['arrhythmia', 'syndactyly', 'autism', 'nervous disorders']","timothy syndrome arrhythmia, syndactyly, autism, nervous disorders arrhythmia, sindaktili, autisme, gangguan saraf. cacna1c gene mutations affect calcium channels consult a healthcare professional for accurate precautions."
Tonsillitis,,Tonsillitis is inflammation of the tonsils in the upper part of the throat. It can be acute or chronic. Acute tonsillitis typically has a rapid onset.,"Treatments to reduce the discomfort from tonsillitis include: pain and fever reducing medications such as paracetamol (acetaminophen) and ibuprofen warm salt water gargle, lozenges, honey, or warm liquids. There are no antiviral medical treatments for virally-caused tonsillitis.",[],"tonsillitis tonsillitis is inflammation of the tonsils in the upper part of the throat. it can be acute or chronic. acute tonsillitis typically has a rapid onset. treatments to reduce the discomfort from tonsillitis include pain and fever reducing medications such as paracetamol (acetaminophen) and ibuprofen warm salt water gargle, lozenges, honey, or warm liquids. there are no antiviral medical treatments for virally-caused tonsillitis."
Torticollis,"Neck pain, stiffness, and abnormal head positioning","Torticollis, also known as wry neck, is an extremely painful, dystonic condition defined by an abnormal, asymmetrical head or neck position, which may be due to a variety of causes. The term torticollis is derived from Latin tortus 'twisted' and collum 'neck'. The most common case has no obvious cause, and the pain and difficulty in turning the head usually goes away after a few days, even without treatment in adults.","Teaching people how to sit and stand properly can help reduce strain on the neck muscles and improve posture. Changing habits like bad posture or repetitive movements can help ease symptoms of torticollis. Wearing a special collar can also support the neck and keep it in the right position during daily activities. Using electrical devices have also been shown to reduce pain, make muscles work better, and relax tight muscles. Injecting a substance like Botox into overactive muscles can weaken them temporarily, allowing for better movement. If other treatments don't work, surgery might be needed to fix the muscles or bones causing torticollis.","['neck pain', 'stiffness', 'and abnormal head positioning']","torticollis neck pain, stiffness, and abnormal head positioning torticollis, also known as wry neck, is an extremely painful, dystonic condition defined by an abnormal, asymmetrical head or neck position, which may be due to a variety of causes. the term torticollis is derived from latin tortus twisted and collum neck . the most common case has no obvious cause, and the pain and difficulty in turning the head usually goes away after a few days, even without treatment in adults. teaching people how to sit and stand properly can help reduce strain on the neck muscles and improve posture. changing habits like bad posture or repetitive movements can help ease symptoms of torticollis. wearing a special collar can also support the neck and keep it in the right position during daily activities. using electrical devices have also been shown to reduce pain, make muscles work better, and relax tight muscles. injecting a substance like botox into overactive muscles can weaken them temporarily, allowing for better movement. if other treatments don t work, surgery might be needed to fix the muscles or bones causing torticollis."
Tourette Syndrome,,"Tourette syndrome (TS), or simply Tourette's, is a common neurodevelopmental disorder that begins in childhood or adolescence. It is characterized by multiple movement (motor) tics and at least one vocal (phonic) tic. Common tics are blinking, coughing, throat clearing, sniffing, and facial movements.","There is no cure for Tourette's. There is no single most effective medication, and no one medication effectively treats all symptoms. Most medications prescribed for tics have not been approved for that use, and no medication is without the risk of significant adverse effects. Treatment is focused on identifying the most troubling or impairing symptoms and helping the individual manage them. Because comorbid conditions are often a larger source of impairment than tics, they are a priority in treatment. The management of Tourette's is individualized and involves shared decision-making between the clinician, patient, family and caregivers. Practice guidelines for the treatment of tics were published by the American Academy of Neurology in 2019. Education, reassurance and psychobehavioral therapy are often sufficient for the majority of cases. In particular, psychoeducation targeting the patient and their family and surrounding community is a key management strategy. Watchful waiting ""is an acceptable approach"" for those who are not functionally impaired. Symptom management may include behavioral, psychological and pharmacological therapies. Pharmacological intervention is reserved for more severe symptoms, while psychotherapy or cognitive behavioral therapy (CBT) may ameliorate depression and social isolation, and improve family support. The decision to use behavioral or pharmacological treatment is ""usually made after the educational and supportive interventions have been in place for a period of months, and it is clear that the tic symptoms are persistently severe and are themselves a source of impairment in terms of self-esteem, relationships with the family or peers, or school performance"".",[],"tourette syndrome tourette syndrome (ts), or simply tourette s, is a common neurodevelopmental disorder that begins in childhood or adolescence. it is characterized by multiple movement (motor) tics and at least one vocal (phonic) tic. common tics are blinking, coughing, throat clearing, sniffing, and facial movements. there is no cure for tourette s. there is no single most effective medication, and no one medication effectively treats all symptoms. most medications prescribed for tics have not been approved for that use, and no medication is without the risk of significant adverse effects. treatment is focused on identifying the most troubling or impairing symptoms and helping the individual manage them. because comorbid conditions are often a larger source of impairment than tics, they are a priority in treatment. the management of tourette s is individualized and involves shared decision-making between the clinician, patient, family and caregivers. practice guidelines for the treatment of tics were published by the american academy of neurology in 2019. education, reassurance and psychobehavioral therapy are often sufficient for the majority of cases. in particular, psychoeducation targeting the patient and their family and surrounding community is a key management strategy. watchful waiting is an acceptable approach for those who are not functionally impaired. symptom management may include behavioral, psychological and pharmacological therapies. pharmacological intervention is reserved for more severe symptoms, while psychotherapy or cognitive behavioral therapy (cbt) may ameliorate depression and social isolation, and improve family support. the decision to use behavioral or pharmacological treatment is usually made after the educational and supportive interventions have been in place for a period of months, and it is clear that the tic symptoms are persistently severe and are themselves a source of impairment in terms of self-esteem, relationships with the family or peers, or school performance ."
Transient ischemic attack,Sudden onset of neurological symptoms that resolve within 24 hours,"A transient ischemic attack (TIA), commonly known as a mini-stroke, is a temporary (transient) stroke with noticeable symptoms that end within 24 hours. A TIA causes the same symptoms associated with a stroke, such as weakness or numbness on one side of the body, sudden dimming or loss of vision, difficulty speaking or understanding language or slurred speech. All forms of stroke, including a TIA, result from a disruption in blood flow to the central nervous system.","Although there is a lack of robust studies demonstrating the efficacy of lifestyle changes in preventing TIA, many medical professionals recommend them. These include: Avoiding smoking Cutting down on fats to help reduce the amount of plaque buildup Eating a healthy diet, including plenty of fruits and vegetables Limiting sodium in the diet, thereby reducing blood pressure Exercising regularly Moderating intake of alcohol, stimulants, sympathomimetics, etc. Maintaining a healthy weight In addition, it is important to control any underlying medical conditions that may increase the risk of stroke or TIA, including: Hypertension High cholesterol Diabetes mellitus Atrial fibrillation By definition, TIAs are transient, self-resolving, and do not cause permanent impairment. However, they are associated with an increased risk of subsequent ischemic strokes, which can be permanently disabling. Therefore, management centers on the prevention of future ischemic strokes and addressing any modifiable risk factors. The optimal regimen depends on the underlying cause of the TIA.",['sudden onset of neurological symptoms that resolve within 24 hours'],"transient ischemic attack sudden onset of neurological symptoms that resolve within 24 hours a transient ischemic attack (tia), commonly known as a mini-stroke, is a temporary (transient) stroke with noticeable symptoms that end within 24 hours. a tia causes the same symptoms associated with a stroke, such as weakness or numbness on one side of the body, sudden dimming or loss of vision, difficulty speaking or understanding language or slurred speech. all forms of stroke, including a tia, result from a disruption in blood flow to the central nervous system. although there is a lack of robust studies demonstrating the efficacy of lifestyle changes in preventing tia, many medical professionals recommend them. these include avoiding smoking cutting down on fats to help reduce the amount of plaque buildup eating a healthy diet, including plenty of fruits and vegetables limiting sodium in the diet, thereby reducing blood pressure exercising regularly moderating intake of alcohol, stimulants, sympathomimetics, etc. maintaining a healthy weight in addition, it is important to control any underlying medical conditions that may increase the risk of stroke or tia, including hypertension high cholesterol diabetes mellitus atrial fibrillation by definition, tias are transient, self-resolving, and do not cause permanent impairment. however, they are associated with an increased risk of subsequent ischemic strokes, which can be permanently disabling. therefore, management centers on the prevention of future ischemic strokes and addressing any modifiable risk factors. the optimal regimen depends on the underlying cause of the tia."
Treponema,"Genital sores, fever, rash","Genital sores, fever, rash. Treponema pallidum bacterial infection (syphilis).",Consult a healthcare professional for accurate precautions.,"['genital sores', 'fever', 'rash']","treponema genital sores, fever, rash genital sores, fever, rash. treponema pallidum bacterial infection (syphilis). consult a healthcare professional for accurate precautions."
Trichinosis,"Muscle pain, fever, eye swelling, nausea","Nyeri otot, demam, pembengkakan mata, mual. Trichinella worm infection from raw pork/animals.","As with most diseases, early treatment is better and decreases the risk of developing the disease. If larvae do encyst in skeletal muscle cells, they can remain infectious for months to years.","['muscle pain', 'fever', 'eye swelling', 'nausea']","trichinosis muscle pain, fever, eye swelling, nausea nyeri otot, demam, pembengkakan mata, mual. trichinella worm infection from raw pork/animals. as with most diseases, early treatment is better and decreases the risk of developing the disease. if larvae do encyst in skeletal muscle cells, they can remain infectious for months to years."
Trichuris,"Diarrhea, mild anemia, pot belly","Diarrhea, mild anemia, pot belly. Whipworm infection (Trichuris trichiura)",Consult a healthcare professional for accurate precautions.,"['diarrhea', 'mild anemia', 'pot belly']","trichuris diarrhea, mild anemia, pot belly diarrhea, mild anemia, pot belly. whipworm infection (trichuris trichiura) consult a healthcare professional for accurate precautions."
Trikomoniasis,"Green/yellow vaginal discharge, itching, pain when urinating or having intercourse","Green/yellow vaginal discharge, itching, pain when urinating or having intercourse. Trichomonas vaginalis parasite infection of the reproductive tract.",Consult a healthcare professional for accurate precautions.,"['green/yellow vaginal discharge', 'itching', 'pain when urinating or having intercourse']","trikomoniasis green/yellow vaginal discharge, itching, pain when urinating or having intercourse green/yellow vaginal discharge, itching, pain when urinating or having intercourse. trichomonas vaginalis parasite infection of the reproductive tract. consult a healthcare professional for accurate precautions."
Trypanosoma,"Fever, swollen glands, fatigue","Fever, swollen glands, fatigue. Trypanosoma parasite infection (sleeping sickness or Chagas).",Consult a healthcare professional for accurate precautions.,"['fever', 'swollen glands', 'fatigue']","trypanosoma fever, swollen glands, fatigue fever, swollen glands, fatigue. trypanosoma parasite infection (sleeping sickness or chagas). consult a healthcare professional for accurate precautions."
Trypanosomiasis,"Fever, muscle aches, swelling around the bite, anemia","Fever, muscle aches, swelling around the bite, anemia. Trypanosoma parasite infection through tse-tse fly bites.","The use of trypanotolerant breeds for livestock farming should be considered if the disease is widespread. Fly control is another option but is difficult to implement. The main approaches to controlling African trypanosomiasis are to reduce the reservoirs of infection and the presence of the tsetse fly. Screening of people at risk helps identify patients at an early stage. Diagnosis should be made as early as possible and before the advanced stage to avoid complicated, difficult and risky treatment procedures. Stage I of the condition is usually treated with pentamidine or suramin through intramuscular injection or intravenous infusion if sufficient observation is possible. Stage II of the disease is typically treated with melarsoprol or eflornithine preferably introduced to the body intravenously. Both pentamidine and suramin have limited side effects. Melarsoprol is extremely effective but has many serious side effects which can cause neurological damage to a patient, however, the drug is often a patient's last hope in many late stage cases. Eflornithine is extremely expensive but has side effects that may be treated with ease. In regions of the world where the disease is common eflornithine is provided for free by the World Health Organization.","['fever', 'muscle aches', 'swelling around the bite', 'anemia']","trypanosomiasis fever, muscle aches, swelling around the bite, anemia fever, muscle aches, swelling around the bite, anemia. trypanosoma parasite infection through tse-tse fly bites. the use of trypanotolerant breeds for livestock farming should be considered if the disease is widespread. fly control is another option but is difficult to implement. the main approaches to controlling african trypanosomiasis are to reduce the reservoirs of infection and the presence of the tsetse fly. screening of people at risk helps identify patients at an early stage. diagnosis should be made as early as possible and before the advanced stage to avoid complicated, difficult and risky treatment procedures. stage i of the condition is usually treated with pentamidine or suramin through intramuscular injection or intravenous infusion if sufficient observation is possible. stage ii of the disease is typically treated with melarsoprol or eflornithine preferably introduced to the body intravenously. both pentamidine and suramin have limited side effects. melarsoprol is extremely effective but has many serious side effects which can cause neurological damage to a patient, however, the drug is often a patient s last hope in many late stage cases. eflornithine is extremely expensive but has side effects that may be treated with ease. in regions of the world where the disease is common eflornithine is provided for free by the world health organization."
Tuberculosis,"cough, weight loss, fever, night sweats","Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.","The main strategies to prevent infection with TB are treatment of both active and latent TB, as well as vaccination of children who are at risk. Although latent TB is not infective, it should be treated in order to prevent its development into active pulmonary TB, which is infective. The cascade of person-to-person spread can be circumvented by segregating those with active (""overt"") TB and putting them on anti-TB drug regimens. After about two weeks of effective treatment, subjects with nonresistant active infections generally do not remain contagious to others; however it is important to complete the full course of treatment which is usually six months. Treatment of TB uses antibiotics to kill the bacteria. Effective TB treatment is difficult, due to the unusual structure and chemical composition of the mycobacterial cell wall, which hinders the entry of drugs and makes many antibiotics ineffective.","['cough', 'weight loss', 'fever', 'night sweats']","tuberculosis cough, weight loss, fever, night sweats tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis. the main strategies to prevent infection with tb are treatment of both active and latent tb, as well as vaccination of children who are at risk. although latent tb is not infective, it should be treated in order to prevent its development into active pulmonary tb, which is infective. the cascade of person-to-person spread can be circumvented by segregating those with active ( overt ) tb and putting them on anti-tb drug regimens. after about two weeks of effective treatment, subjects with nonresistant active infections generally do not remain contagious to others however it is important to complete the full course of treatment which is usually six months. treatment of tb uses antibiotics to kill the bacteria. effective tb treatment is difficult, due to the unusual structure and chemical composition of the mycobacterial cell wall, which hinders the entry of drugs and makes many antibiotics ineffective."
Tuberkulosis (TBC),"Cough for more than 2 weeks, night sweats, weight loss","Cough for more than 2 weeks, night sweats, weight loss. Mycobacterium tuberculosis bacterial infection in the lungs.",Consult a healthcare professional for accurate precautions.,"['cough for more than 2 weeks', 'night sweats', 'weight loss']","tuberkulosis (tbc) cough for more than 2 weeks, night sweats, weight loss cough for more than 2 weeks, night sweats, weight loss. mycobacterium tuberculosis bacterial infection in the lungs. consult a healthcare professional for accurate precautions."
Tuberkulosis Ekstra Paru,"Pain, swelling, fever, weight loss","Pain, swelling, fever, weight loss. Mycobacterium tuberculosis infection in organs other than the lungs.",Consult a healthcare professional for accurate precautions.,"['pain', 'swelling', 'fever', 'weight loss']","tuberkulosis ekstra paru pain, swelling, fever, weight loss pain, swelling, fever, weight loss. mycobacterium tuberculosis infection in organs other than the lungs. consult a healthcare professional for accurate precautions."
Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities","Skin spots, seizures, developmental delays. Genetic disorders that form benign tumors in organs.","Tuberous sclerosis complex affects multiple organ systems so a multidisciplinary team of medical professionals is required. In suspected or newly diagnosed TSC, the following tests and procedures are recommended by 2012 International Tuberous Sclerosis Complex Consensus Conference. Take a personal and family history covering three generations. Genetic counselling and tests determine if other individuals are at risk. A magnetic resonance imaging (MRI) of the brain to identify tubers, subependymal nodules (SEN) and sub-ependymal giant cell astrocytomas (SEGA). Children undergo a baseline electroencephalograph (EEG) and family educated to identify seizures if/when they occur. Assess children for behavioural issues, autism spectrum disorder, psychiatric disorders, developmental delay, and neuropsychological problems. Scan the abdomen for tumours in various organs, but most importantly angiomyolipomata in the kidneys. MRI is superior to CT or ultrasound. Take blood pressure and test renal function. In adult women, test pulmonary function and perform a high-resolution computed tomography (HRCT) of the chest. Examine the skin under a Wood's lamp (hypomelanotic macules), the fingers and toes (ungual fibroma), the face (angiofibromas), and the mouth (dental pits and gingival fibromas). In infants under three, perform an echocardiogram to spot rhabdomyomas, and electrocardiogram (ECG) for any arrhythmia. Use a fundoscope to spot retinal hamartomas or achromic patches. The various symptoms and complications from TSC may appear throughout life, requiring continued surveillance and adjustment to treatments. The following ongoing tests and procedures are recommended by 2012 International Tuberous Sclerosis Complex Consensus Conference. In children and adults younger than 25 years, a magnetic resonance imaging (MRI) of the brain is performed every one to three years to monitor for subependymal giant cell astrocytoma (SEGA). If a SEGA is large, growing or interfering with ventricles, the MRI is performed more frequently. After 25 years, if there are no SEGAs then periodic scans may no longer be required. A SEGA causing acute symptoms are removed with surgery, otherwise either surgery or drug treatment with an mTOR inhibitor may be indicated. Repeat screening for TSC-associated neuropsychiatric disorders (TAND) at least annually. Sudden behavioural changes may indicate a new physical problem (for example with the kidneys, epilepsy or a SEGA). Routine EEG determined by clinical need. Infantile spasms are best treated with vigabatrin and adrenocorticotropic hormone used as a second-line therapy. Other seizure types have no TSC-specific recommendation, though epilepsy in TSC is typically difficult to treat (medically refractory). Repeat MRI of abdomen every one to three years throughout life. Check renal (kidney) function annually. Should angiomyolipoma bleed, this is best treated with embolisation and then corticosteroids. Removal of the kidney (nephrectomy) is strongly to be avoided. An asymptomatic angiomyolipoma that is growing larger than 3 cm is best treated with an mTOR inhibitor drug. Other renal complications spotted by imaging include polycystic kidney disease and renal cell carcinoma. Repeat chest HRCT in adult women every five to 10 years. Evidence of lymphangioleiomyomatosis (LAM) indicates more frequent testing. An mTOR inhibitor drug can help, though a lung transplant may be required. A 12-lead ECG should be performed every three to five years. The mTOR inhibitor everolimus was approved in the US for treatment of TSC-related tumors in the brain (subependymal giant cell astrocytoma) in 2010 and in the kidneys (renal angiomyolipoma) in 2012. Oral everolimus (rapalog) reduces tumour size, is effective in terms of response to skin lesions and does not increase the risk of adverse events. Everolimus also showed evidence of effectiveness at treating epilepsy in some people with TSC. In 2017, the European Commission approved everolimus for treatment of refractory partial-onset seizures associated with TSC. Neurosurgical intervention may reduce the severity and frequency of seizures in TSC patients. Embolization and other surgical interventions can be used to treat renal angiomyolipoma with acute hemorrhage. Surgical treatments for symptoms of lymphangioleiomyomatosis (LAM) in adult TSC patients include pleurodesis to prevent pneumothorax and lung transplantation in the case of irreversible lung failure. Other treatments that have been used to treat TSC manifestations and symptoms include a ketogenic diet for intractable epilepsy and pulmonary rehabilitation for LAM. Facial angiofibromas can be reduced with laser treatment and the effectiveness of mTOR inhibitor topical treatment is being investigated. Laser therapy is painful, requires anaesthesia, and has risks of scarring and dyspigmentation.","['benign tumors in various organs', 'seizures', 'developmental delays', 'skin abnormalities']","tuberous sclerosis benign tumors in various organs, seizures, developmental delays, skin abnormalities skin spots, seizures, developmental delays. genetic disorders that form benign tumors in organs. tuberous sclerosis complex affects multiple organ systems so a multidisciplinary team of medical professionals is required. in suspected or newly diagnosed tsc, the following tests and procedures are recommended by 2012 international tuberous sclerosis complex consensus conference. take a personal and family history covering three generations. genetic counselling and tests determine if other individuals are at risk. a magnetic resonance imaging (mri) of the brain to identify tubers, subependymal nodules (sen) and sub-ependymal giant cell astrocytomas (sega). children undergo a baseline electroencephalograph (eeg) and family educated to identify seizures if/when they occur. assess children for behavioural issues, autism spectrum disorder, psychiatric disorders, developmental delay, and neuropsychological problems. scan the abdomen for tumours in various organs, but most importantly angiomyolipomata in the kidneys. mri is superior to ct or ultrasound. take blood pressure and test renal function. in adult women, test pulmonary function and perform a high-resolution computed tomography (hrct) of the chest. examine the skin under a wood s lamp (hypomelanotic macules), the fingers and toes (ungual fibroma), the face (angiofibromas), and the mouth (dental pits and gingival fibromas). in infants under three, perform an echocardiogram to spot rhabdomyomas, and electrocardiogram (ecg) for any arrhythmia. use a fundoscope to spot retinal hamartomas or achromic patches. the various symptoms and complications from tsc may appear throughout life, requiring continued surveillance and adjustment to treatments. the following ongoing tests and procedures are recommended by 2012 international tuberous sclerosis complex consensus conference. in children and adults younger than 25 years, a magnetic resonance imaging (mri) of the brain is performed every one to three years to monitor for subependymal giant cell astrocytoma (sega). if a sega is large, growing or interfering with ventricles, the mri is performed more frequently. after 25 years, if there are no segas then periodic scans may no longer be required. a sega causing acute symptoms are removed with surgery, otherwise either surgery or drug treatment with an mtor inhibitor may be indicated. repeat screening for tsc-associated neuropsychiatric disorders (tand) at least annually. sudden behavioural changes may indicate a new physical problem (for example with the kidneys, epilepsy or a sega). routine eeg determined by clinical need. infantile spasms are best treated with vigabatrin and adrenocorticotropic hormone used as a second-line therapy. other seizure types have no tsc-specific recommendation, though epilepsy in tsc is typically difficult to treat (medically refractory). repeat mri of abdomen every one to three years throughout life. check renal (kidney) function annually. should angiomyolipoma bleed, this is best treated with embolisation and then corticosteroids. removal of the kidney (nephrectomy) is strongly to be avoided. an asymptomatic angiomyolipoma that is growing larger than 3 cm is best treated with an mtor inhibitor drug. other renal complications spotted by imaging include polycystic kidney disease and renal cell carcinoma. repeat chest hrct in adult women every five to 10 years. evidence of lymphangioleiomyomatosis (lam) indicates more frequent testing. an mtor inhibitor drug can help, though a lung transplant may be required. a 12-lead ecg should be performed every three to five years. the mtor inhibitor everolimus was approved in the us for treatment of tsc-related tumors in the brain (subependymal giant cell astrocytoma) in 2010 and in the kidneys (renal angiomyolipoma) in 2012. oral everolimus (rapalog) reduces tumour size, is effective in terms of response to skin lesions and does not increase the risk of adverse events. everolimus also showed evidence of effectiveness at treating epilepsy in some people with tsc. in 2017, the european commission approved everolimus for treatment of refractory partial-onset seizures associated with tsc. neurosurgical intervention may reduce the severity and frequency of seizures in tsc patients. embolization and other surgical interventions can be used to treat renal angiomyolipoma with acute hemorrhage. surgical treatments for symptoms of lymphangioleiomyomatosis (lam) in adult tsc patients include pleurodesis to prevent pneumothorax and lung transplantation in the case of irreversible lung failure. other treatments that have been used to treat tsc manifestations and symptoms include a ketogenic diet for intractable epilepsy and pulmonary rehabilitation for lam. facial angiofibromas can be reduced with laser treatment and the effectiveness of mtor inhibitor topical treatment is being investigated. laser therapy is painful, requires anaesthesia, and has risks of scarring and dyspigmentation."
Turner Syndrome,,"Turner syndrome (TS), commonly known as 45,X, or 45,X0, is a chromosomal disorder in which cells of females have only one X chromosome instead of two, or are partially missing an X chromosome (sex chromosome monosomy) leading to the complete or partial deletion of the pseudoautosomal regions (PAR1, PAR2) in the affected X chromosome. Humans typically have two sex chromosomes, XX for females or XY for males. The chromosomal abnormality is often present in just some cells, in which case it is known as Turner syndrome with mosaicism.","As a chromosomal condition, there is no cure for Turner syndrome. However, much can be done to minimize the symptoms. While most of the physical findings are harmless, significant medical problems can be associated with the syndrome. Most of these significant conditions are treatable with surgery and other therapies including hormonal therapy. Synthetic growth hormones, either alone or with a low dose of androgen, will increase height by several inches and probably final adult height. Growth hormone is approved by the U.S. Food and Drug Administration for treatment of Turner syndrome and is covered by many insurance plans. It can make Turner females achieve a more normal height There is evidence that this is effective, even in toddlers. A 2019 systematic review comparing effects of adding oxandrolone to growth hormone treatment to growth hormone alone has found moderate-quality evidence that the addition of oxandrolone leads to an increase in final adult height of girls with Turner syndrome. When the same review assessed the effects of adding Oxandrolone to growth hormone treatment on speech, cognition and psychological status, the results were inconclusive due to very-low quality evidence. Estrogen replacement therapy such as the birth control pill, has been used since the condition was described in 1938 to promote development of secondary sexual characteristics. Estrogens are crucial for maintaining good bone integrity, cardiovascular health and tissue health. Women with Turner syndrome who do not have spontaneous puberty and who are not treated with estrogen are at high risk for osteoporosis and heart conditions. Modern reproductive technologies have also been used to help women with Turner syndrome become pregnant if they desire. For example, a donor egg can be used to create an embryo, which is carried by the Turner syndrome woman. Uterine maturity is positively associated with years of estrogen use, history of spontaneous menarche, and negatively associated with the lack of current hormone replacement therapy.",[],"turner syndrome turner syndrome (ts), commonly known as 45,x, or 45,x0, is a chromosomal disorder in which cells of females have only one x chromosome instead of two, or are partially missing an x chromosome (sex chromosome monosomy) leading to the complete or partial deletion of the pseudoautosomal regions (par1, par2) in the affected x chromosome. humans typically have two sex chromosomes, xx for females or xy for males. the chromosomal abnormality is often present in just some cells, in which case it is known as turner syndrome with mosaicism. as a chromosomal condition, there is no cure for turner syndrome. however, much can be done to minimize the symptoms. while most of the physical findings are harmless, significant medical problems can be associated with the syndrome. most of these significant conditions are treatable with surgery and other therapies including hormonal therapy. synthetic growth hormones, either alone or with a low dose of androgen, will increase height by several inches and probably final adult height. growth hormone is approved by the u.s. food and drug administration for treatment of turner syndrome and is covered by many insurance plans. it can make turner females achieve a more normal height there is evidence that this is effective, even in toddlers. a 2019 systematic review comparing effects of adding oxandrolone to growth hormone treatment to growth hormone alone has found moderate-quality evidence that the addition of oxandrolone leads to an increase in final adult height of girls with turner syndrome. when the same review assessed the effects of adding oxandrolone to growth hormone treatment on speech, cognition and psychological status, the results were inconclusive due to very-low quality evidence. estrogen replacement therapy such as the birth control pill, has been used since the condition was described in 1938 to promote development of secondary sexual characteristics. estrogens are crucial for maintaining good bone integrity, cardiovascular health and tissue health. women with turner syndrome who do not have spontaneous puberty and who are not treated with estrogen are at high risk for osteoporosis and heart conditions. modern reproductive technologies have also been used to help women with turner syndrome become pregnant if they desire. for example, a donor egg can be used to create an embryo, which is carried by the turner syndrome woman. uterine maturity is positively associated with years of estrogen use, history of spontaneous menarche, and negatively associated with the lack of current hormone replacement therapy."
